user_id,state,city,country,total_transactions,total_spent,avg_order_value,total_sessions,converted_sessions,avg_session_duration_sec,total_products_viewed,conversion_rate,engagement_score,predicted_future_value,total_clv,customer_segment
user_000360,MT,Chadmouth,SB,6,6561.42,1093.57,7,1,1895.7142857142858,23,14.29,2.65,1448.98,8010.4,Medium Value
user_000417,NJ,Nancyfurt,CV,1,917.46,917.46,5,1,1909.8,18,20.0,2.04,935.81,1853.27,Medium Value
user_000458,VA,South Kristenfurt,SO,1,547.47,547.47,11,1,1943.2727272727273,38,9.09,3.88,1062.09,1609.56,Medium Value
user_000650,TN,North Amy,BE,4,2925.01,731.25,11,1,1596.1818181818182,49,9.09,3.9,1425.94,4350.95,Medium Value
user_000692,KS,Rachelfort,BE,2,1176.02,588.01,4,0,2134.0,11,0.0,1.22,358.69,1534.71,Medium Value
user_000100,NE,Moranport,IS,7,9270.54,1324.36,12,0,1753.8333333333333,55,0.0,3.71,2456.69,11727.23,Medium Value
user_000112,AK,Huffton,VC,7,9141.16,1305.88,12,5,1930.75,49,41.67,6.2,4048.23,13189.39,High Value
user_000957,PA,West Kelsey,DM,6,5508.99,918.17,13,4,1704.6923076923076,51,30.77,6.0,2754.51,8263.5,High Value
user_000982,WI,Stevenbury,JO,2,3449.21,1724.61,8,0,1384.625,27,0.0,2.45,2112.65,5561.86,Medium Value
user_000220,AZ,Leemouth,ET,6,7407.67,1234.61,12,0,2308.3333333333335,40,0.0,3.68,2271.68,9679.35,Medium Value
user_000292,MH,Hannahberg,MW,3,2961.48,987.16,8,1,1717.25,31,12.5,2.96,1461.0,4422.48,Medium Value
user_000391,SD,Angieport,DK,3,2347.03,782.34,11,2,1832.4545454545455,27,18.18,4.35,1701.59,4048.62,Medium Value
user_000549,IL,New Johnbury,MR,3,2873.96,957.99,11,0,1648.090909090909,33,0.0,3.37,1614.21,4488.17,Medium Value
user_000698,FL,Zacharybury,AT,7,7149.51,1021.36,6,1,1816.3333333333333,19,16.67,2.34,1194.99,8344.5,Medium Value
user_000034,WV,Patrickview,CF,6,8352.77,1392.13,8,2,1540.5,27,25.0,3.45,2401.42,10754.19,Medium Value
user_000120,WY,Port Olivia,NG,3,2827.35,942.45,13,2,1521.0,40,15.38,4.98,2346.7,5174.05,Medium Value
user_000306,UT,New Sarashire,TO,3,1887.6,629.2,9,0,1857.4444444444443,32,0.0,2.76,868.3,2755.9,Medium Value
user_000868,ID,Candicestad,KG,2,3296.22,1648.11,6,0,1997.1666666666667,18,0.0,1.84,1516.26,4812.48,Medium Value
user_000043,PA,Bowenfort,BF,2,2138.17,1069.09,5,1,1140.2,13,20.0,2.03,1085.13,3223.3,Medium Value
user_000062,MS,Whiteview,TR,4,5883.39,1470.85,13,2,1437.3076923076924,44,15.38,4.99,3669.77,9553.16,Medium Value
user_000096,SC,Lake Lori,GQ,6,9050.68,1508.45,9,1,2367.8888888888887,31,11.11,3.26,2458.77,11509.45,Medium Value
user_000204,IL,East Kevintown,SI,5,4594.74,918.95,12,2,1911.25,48,16.67,4.7,2159.53,6754.27,Medium Value
user_000455,NJ,West Dakota,BR,1,2030.32,2030.32,6,0,828.0,32,0.0,1.86,1888.2,3918.52,Medium Value
user_000473,AK,Kristenshire,CI,5,8602.56,1720.51,8,0,1966.125,27,0.0,2.45,2107.62,10710.18,Medium Value
user_000854,AL,Port Cherylborough,PS,5,5672.88,1134.58,6,1,1563.0,18,16.67,2.34,1327.46,7000.34,Medium Value
user_000935,GA,Jessicaside,VC,4,1317.8,329.45,14,3,1604.5,58,21.43,5.82,958.7,2276.5,High Value
user_000049,KS,Pagestad,DJ,3,2074.35,691.45,10,2,1891.5,31,20.0,4.06,1403.64,3477.99,Medium Value
user_000116,DE,Ricardofurt,LA,2,3110.06,1555.03,10,1,2378.1,36,10.0,3.57,2775.73,5885.79,Medium Value
user_000205,NJ,Lake Megan,CO,4,8729.1,2182.28,9,2,1819.3333333333333,33,22.22,3.77,4113.6,12842.7,Medium Value
user_000217,CA,Simpsonburgh,SB,2,1238.92,619.46,10,1,1586.1,43,10.0,3.59,1111.93,2350.85,Medium Value
user_000390,VT,Nixonborough,AZ,7,7856.0,1122.29,8,3,1841.375,26,37.5,3.95,2216.52,10072.52,Medium Value
user_000723,PA,South Ashleyland,NR,2,1113.75,556.88,14,0,1729.357142857143,49,0.0,4.3,1197.29,2311.04,Medium Value
user_000759,RI,Port Breannaland,IN,5,3724.44,744.89,9,2,2073.777777777778,37,22.22,3.77,1404.12,5128.56,Medium Value
user_000277,OR,Melaniefurt,GH,2,2096.44,1048.22,9,2,2222.1111111111113,32,22.22,3.76,1970.65,4067.09,Medium Value
user_000379,ME,North Teresa,BI,7,7733.1,1104.73,13,5,1611.2307692307693,48,38.46,6.5,3590.37,11323.47,High Value
user_000541,NC,Danielleberg,MW,2,2912.41,1456.21,7,1,2229.285714285714,24,14.29,2.65,1929.48,4841.89,Medium Value
user_000559,SD,Gregoryfort,PS,8,5366.43,670.8,15,5,2089.266666666667,52,33.33,7.1,2381.34,7747.77,High Value
user_000630,PR,West Joannefort,MD,5,7003.34,1400.67,12,3,1686.1666666666667,44,25.0,5.19,3634.74,10638.08,High Value
user_000694,KY,Markland,MU,2,1388.22,694.11,7,1,2067.285714285714,28,14.29,2.66,923.17,2311.39,Medium Value
user_000740,WI,Stricklandville,AR,6,7637.93,1272.99,9,1,1635.7777777777778,22,11.11,3.24,2062.24,9700.17,Medium Value
user_000923,AZ,Smithfurt,JO,5,3660.14,732.03,9,3,1616.2222222222222,34,33.33,4.27,1562.88,5223.02,Medium Value
user_000966,WA,Port Walter,BB,13,12157.99,935.23,12,4,2246.1666666666665,32,33.33,5.66,2646.7,14804.69,High Value
user_000276,SC,Port Dawnhaven,TR,5,4635.13,927.03,13,2,1375.8461538461538,61,15.38,5.02,2326.85,6961.98,High Value
user_000344,LA,Ortegafort,SN,7,5829.26,832.75,8,3,1427.125,38,37.5,3.98,1657.17,7486.43,Medium Value
user_000432,TX,Reneetown,LR,5,4521.33,904.27,9,2,1929.5555555555557,34,22.22,3.77,1704.55,6225.88,Medium Value
user_000786,MP,Zavalastad,MH,4,5080.13,1270.03,10,2,1511.3,37,20.0,4.07,2584.51,7664.64,Medium Value
user_000048,WA,Robertton,PY,1,959.9,959.9,7,0,1194.7142857142858,26,0.0,2.15,1031.89,1991.79,Medium Value
user_000514,NC,East Katie,UA,3,1936.36,645.45,6,0,1641.8333333333333,18,0.0,1.84,593.81,2530.17,Medium Value
user_000537,NH,West Amandamouth,JM,10,10215.64,1021.56,11,5,1739.8181818181818,44,45.45,5.89,3008.49,13224.13,High Value
user_000902,WV,Audreybury,BF,3,4331.75,1443.92,8,2,1975.25,21,25.0,3.44,2483.54,6815.29,Medium Value
user_000990,IA,Port Jamesburgh,GH,6,5555.91,925.99,13,4,1675.0,53,30.77,6.01,2782.6,8338.51,High Value
user_000040,NV,Kingtown,TD,5,5882.85,1176.57,12,3,1619.0833333333333,43,25.0,5.19,3053.2,8936.05,High Value
user_000056,OR,North Mary,AG,6,4488.05,748.01,12,2,1643.75,38,16.67,4.68,1750.34,6238.39,Medium Value
user_000081,SD,West Anneside,HT,6,8509.75,1418.29,12,1,2008.25,36,8.33,4.17,2957.13,11466.88,Medium Value
user_000154,ND,Hubbardland,MZ,4,4400.42,1100.11,11,2,1645.909090909091,43,18.18,4.39,2414.74,6815.16,Medium Value
user_000255,MP,Lake Cynthiaview,AG,5,4638.76,927.75,12,3,1940.75,36,25.0,5.17,2398.23,7036.99,High Value
user_000345,TN,Stephanieville,KR,6,6400.87,1066.81,13,2,2012.6153846153845,25,15.38,4.95,2640.35,9041.22,Medium Value
user_000346,VA,Victoriahaven,DJ,3,2597.81,865.94,14,2,1923.642857142857,60,14.29,5.32,2303.4,4901.21,High Value
user_000607,MD,North Sandrahaven,MU,4,1802.68,450.67,12,3,1821.6666666666667,30,25.0,5.16,1162.73,2965.41,High Value
user_000685,WV,South Joshuashire,AO,1,984.46,984.46,9,0,2267.6666666666665,38,0.0,2.78,1368.4,2352.86,Medium Value
user_000824,LA,Davidberg,AD,2,1901.14,950.57,12,0,1890.25,36,0.0,3.67,1744.3,3645.44,Medium Value
user_000826,NJ,East Jonathan,MN,4,5855.96,1463.99,9,1,1109.4444444444443,26,11.11,3.25,2378.98,8234.94,Medium Value
user_000889,CT,Catherineport,AM,1,2312.01,2312.01,5,0,2319.0,15,0.0,1.53,1768.69,4080.7,Medium Value
user_000312,UT,West Allen,BN,8,7950.44,993.81,17,5,1847.4117647058824,61,29.41,7.72,3836.11,11786.55,High Value
user_000332,NY,Ericborough,BA,7,4813.78,687.68,11,4,1634.8181818181818,34,36.36,5.37,1846.42,6660.2,High Value
user_000636,MP,Lake Ian,BT,2,3889.61,1944.81,7,1,1720.2857142857142,27,14.29,2.65,2576.87,6466.48,Medium Value
user_000369,MS,Smithfurt,VC,4,4319.38,1079.84,8,1,1166.75,34,12.5,2.97,1603.56,5922.94,Medium Value
user_000433,LA,Joyceville,DE,3,2615.98,871.99,6,1,1279.8333333333333,18,16.67,2.34,1020.23,3636.21,Medium Value
user_000490,MN,Alvarezhaven,RW,4,7409.96,1852.49,17,2,2056.764705882353,50,11.76,6.2,5742.72,13152.68,High Value
user_000660,AK,New Sabrina,SG,2,1747.84,873.92,11,2,1524.7272727272727,40,18.18,4.38,1913.88,3661.72,Medium Value
user_000041,VI,South Sonya,MA,6,5311.04,885.17,13,2,1669.076923076923,58,15.38,5.02,2221.78,7532.82,High Value
user_000568,UT,Port John,BN,6,7218.9,1203.15,9,4,1490.4444444444443,34,44.44,4.77,2869.51,10088.41,Medium Value
user_000585,OH,Patriciamouth,FM,3,2080.12,693.37,8,1,1860.5,23,12.5,2.95,1022.72,3102.84,Medium Value
user_000003,VI,Underwoodmouth,MM,9,12595.31,1399.48,12,2,1641.9166666666667,41,16.67,4.68,3274.78,15870.09,Medium Value
user_000195,MS,Thompsonstad,VA,3,2519.55,839.85,5,2,2285.2,17,40.0,2.53,1062.41,3581.96,Medium Value
user_000374,UT,East Matthew,PE,3,3357.03,1119.01,7,1,1881.142857142857,36,14.29,2.67,1493.88,4850.91,Medium Value
user_000595,IL,East Victoria,NO,8,5784.89,723.11,12,4,1988.8333333333333,42,33.33,5.68,2053.63,7838.52,High Value
user_000668,VI,New Tylerfurt,CN,3,2502.63,834.21,10,2,1606.0,30,20.0,4.06,1693.45,4196.08,Medium Value
user_000670,FM,Angelfurt,DZ,9,12559.61,1395.51,11,3,1753.7272727272727,46,27.27,4.89,3412.02,15971.63,Medium Value
user_000881,VT,Kelleyberg,VE,7,8722.0,1246.0,9,3,1195.0,31,33.33,4.26,2653.98,11375.98,Medium Value
user_000961,CT,Rossfort,LY,5,6102.32,1220.46,9,3,1699.5555555555557,31,33.33,4.26,2599.58,8701.9,Medium Value
user_000103,TN,Raymondberg,TV,3,2634.51,878.17,6,2,1793.6666666666667,16,33.33,2.83,1242.61,3877.12,Medium Value
user_000553,OR,Aaronmouth,VU,5,3546.06,709.21,7,3,1843.2857142857142,24,42.86,3.65,1294.31,4840.37,Medium Value
user_000705,PW,Lake Taylorbury,SZ,5,4427.87,885.57,6,2,1827.3333333333333,23,33.33,2.85,1261.94,5689.81,Medium Value
user_000842,KS,South Travisport,TM,7,6770.23,967.18,13,5,2053.230769230769,36,38.46,6.47,3128.83,9899.06,High Value
user_000904,ID,West Jenniferland,HU,1,1178.24,1178.24,8,0,2074.75,26,0.0,2.45,1443.34,2621.58,Medium Value
user_000065,RI,Brucestad,ZA,5,3894.66,778.93,12,3,2150.75,43,25.0,5.19,2021.32,5915.98,High Value
user_000102,DC,Hollyfort,NA,4,3259.13,814.78,9,2,2101.3333333333335,28,22.22,3.76,1531.79,4790.92,Medium Value
user_000212,SC,Hopkinsbury,AD,8,5597.07,699.63,10,4,1772.0,26,40.0,5.05,1766.57,7363.64,High Value
user_000355,DC,Reillybury,PK,2,1251.56,625.78,12,2,2084.25,43,16.67,4.69,1467.45,2719.01,Medium Value
user_000356,OR,Wilsonhaven,AR,6,5707.37,951.23,9,1,2171.6666666666665,35,11.11,3.27,1555.26,7262.63,Medium Value
user_000590,MD,New Hollyview,BI,2,2507.78,1253.89,5,0,1536.2,16,0.0,1.53,959.23,3467.01,Medium Value
user_000769,WI,North Lindachester,BY,3,2660.67,886.89,10,2,2243.8,39,20.0,4.08,1809.26,4469.93,Medium Value
user_000783,MI,Gibbschester,SI,9,8698.88,966.54,15,4,2036.0,46,26.67,6.59,3184.75,11883.63,High Value
user_000944,TX,Ronaldport,NO,4,3253.45,813.36,19,4,1837.4736842105262,56,21.05,7.81,3176.17,6429.62,High Value
user_000946,MD,Jessicashire,TR,5,4735.66,947.13,8,1,1695.125,35,12.5,2.97,1406.49,6142.15,Medium Value
user_000030,PR,Jordanfurt,DZ,5,5420.43,1084.09,12,4,2092.0833333333335,32,33.33,5.66,3067.97,8488.4,High Value
user_000279,MN,Fostertown,LA,6,3705.85,617.64,9,4,1805.3333333333333,32,44.44,4.76,1469.98,5175.83,Medium Value
user_000412,NM,North Andreabury,GB,4,5774.23,1443.56,7,0,1343.5714285714287,29,0.0,2.16,1559.04,7333.27,Medium Value
user_000419,MS,Saraview,ES,1,811.36,811.36,12,1,1912.1666666666667,41,8.33,4.18,1695.74,2507.1,Medium Value
user_000864,LA,Gabriellebury,SC,5,6869.71,1373.94,6,0,2282.1666666666665,30,0.0,1.86,1277.76,8147.47,Medium Value
user_000089,UT,Garciaberg,AR,6,3633.59,605.6,8,2,1055.5,28,25.0,3.46,1047.69,4681.28,Medium Value
user_000110,AZ,Fostermouth,CR,5,3438.31,687.66,8,3,2244.875,23,37.5,3.95,1358.13,4796.44,Medium Value
user_000271,NE,South Jerryland,SB,6,5373.19,895.53,15,4,1779.8,68,26.67,6.64,2973.16,8346.35,High Value
user_000301,NJ,Lake Deborahchester,PS,2,2138.51,1069.26,10,1,1600.8,29,10.0,3.56,1903.28,4041.79,Medium Value
user_000645,PR,Mercerfurt,JM,10,13504.06,1350.41,9,3,1567.6666666666667,38,33.33,4.28,2889.88,16393.94,Medium Value
user_000139,MH,Natalieview,NI,3,1544.18,514.73,10,0,2255.5,38,0.0,3.08,792.68,2336.86,Medium Value
user_000411,FM,Velezchester,KP,3,4668.01,1556.0,10,1,1821.6,35,10.0,3.57,2777.46,7445.47,Medium Value
user_000563,MA,Chenborough,HN,4,6082.66,1520.67,12,1,1715.0833333333333,43,8.33,4.19,3185.8,9268.46,Medium Value
user_000174,FL,Lake Melissamouth,SI,7,12423.34,1774.76,9,0,1831.888888888889,27,0.0,2.75,2440.3,14863.64,Medium Value
user_000238,ME,New Tricia,IN,4,4292.33,1073.08,12,0,1728.5833333333333,28,0.0,3.66,1963.74,6256.07,Medium Value
user_000443,NE,Brandychester,FI,5,4930.25,986.05,12,2,1781.1666666666667,46,16.67,4.69,2312.29,7242.54,Medium Value
user_000499,OK,Munozhaven,US,3,2662.43,887.48,7,1,1700.4285714285713,21,14.29,2.64,1171.47,3833.9,Medium Value
user_000510,PA,New James,UA,3,3823.0,1274.33,6,1,1520.3333333333333,17,16.67,2.33,1484.59,5307.59,Medium Value
user_000521,WV,North Paul,LY,6,3919.61,653.27,13,3,1620.1538461538462,45,23.08,5.49,1793.23,5712.84,High Value
user_000560,UT,New Christopher,KH,3,2862.78,954.26,12,0,2345.0833333333335,34,0.0,3.67,1751.07,4613.85,Medium Value
user_000640,MT,Fletcherberg,AG,4,5891.04,1472.76,10,3,2066.8,45,30.0,4.59,3379.98,9271.02,Medium Value
user_000949,TX,Sanfordland,BI,3,4156.48,1385.49,8,2,1931.0,28,25.0,3.46,2396.9,6553.38,Medium Value
user_000069,MO,Higginsmouth,KH,6,5625.29,937.55,6,2,1931.5,22,33.33,2.84,1331.32,6956.61,Medium Value
user_000088,TN,Thomasberg,SE,4,6422.68,1605.67,6,1,1561.0,23,16.67,2.35,1886.66,8309.34,Medium Value
user_000023,MN,North Dylan,BN,3,3433.81,1144.6,10,3,1796.0,33,30.0,4.57,2615.41,6049.22,Medium Value
user_000261,LA,Samanthafort,HR,5,5218.73,1043.75,5,0,1683.2,17,0.0,1.53,798.47,6017.2,Medium Value
user_000475,NJ,Teresaborough,TL,5,8667.29,1733.46,7,0,1894.7142857142858,18,0.0,2.14,1854.8,10522.09,Medium Value
user_000662,WI,Kimberlyview,PK,9,13246.29,1471.81,8,3,1920.5,28,37.5,3.96,2914.18,16160.47,Medium Value
user_000674,IA,South Kellyshire,LB,6,4936.71,822.79,8,1,2064.75,34,12.5,2.97,1221.84,6158.55,Medium Value
user_000744,FM,Peterston,GH,11,10859.15,987.2,11,6,1389.090909090909,46,54.55,6.39,3154.1,14013.25,High Value
user_000914,FL,Hollowayberg,LA,8,10315.74,1289.47,17,3,2166.470588235294,59,17.65,6.72,4332.62,14648.36,High Value
user_000202,MO,Lake Tiffanymouth,CY,3,3262.79,1087.6,8,2,1343.125,29,25.0,3.46,1881.55,5144.34,Medium Value
user_000442,RI,Kendraport,PA,3,3958.03,1319.34,12,1,1800.5833333333333,55,8.33,4.21,2777.21,6735.24,Medium Value
user_000044,MO,Port Josehaven,UA,4,4026.43,1006.61,12,4,1744.5833333333333,37,33.33,5.67,2853.74,6880.17,High Value
user_000106,GA,New Isaacfurt,TW,4,4823.96,1205.99,4,0,1269.0,16,0.0,1.23,741.68,5565.64,Medium Value
user_000262,WA,North Luis,TH,3,2275.1,758.37,10,3,1887.2,36,30.0,4.57,1732.88,4007.98,Medium Value
user_000310,MS,New Jonathan,BZ,3,3178.11,1059.37,14,1,1911.7142857142858,46,7.14,4.79,2537.19,5715.3,Medium Value
user_000420,FL,Carterborough,MK,1,1225.74,1225.74,10,1,1731.7,44,10.0,3.59,2200.2,3425.94,Medium Value
user_000566,ID,Meganport,AO,9,12213.34,1357.04,11,5,1258.1818181818182,43,45.45,5.89,3996.48,16209.82,High Value
user_000661,NC,Lake Cynthia,BJ,3,2910.21,970.07,11,0,1680.4545454545455,35,0.0,3.37,1634.57,4544.78,Medium Value
user_000223,CA,Port Jeremiah,AF,3,2955.56,985.19,9,2,1625.5555555555557,40,22.22,3.78,1862.01,4817.57,Medium Value
user_000446,MO,Greerstad,BW,8,6689.61,836.2,12,3,1325.1666666666667,42,25.0,5.18,2165.76,8855.37,High Value
user_000710,GU,Carlsonbury,GR,3,3771.4,1257.13,8,0,2078.875,24,0.0,2.45,1539.98,5311.38,Medium Value
user_000848,MA,West Susanberg,BG,5,5973.6,1194.72,10,2,1614.2,24,20.0,4.05,2419.31,8392.91,Medium Value
user_000097,ME,New Henrytown,SR,9,7190.99,799.0,15,5,1363.4666666666667,44,33.33,7.09,2832.46,10023.45,High Value
user_000181,HI,Yoderland,AG,5,7447.01,1489.4,8,3,1771.75,35,37.5,3.97,2956.46,10403.47,Medium Value
user_000111,OR,Mariaton,ML,5,4537.18,907.44,12,2,2423.6666666666665,38,16.67,4.68,2123.41,6660.59,Medium Value
user_000329,FL,Fitzpatricktown,FR,3,2153.57,717.86,11,2,2025.0,36,18.18,4.37,1568.52,3722.09,Medium Value
user_000818,NY,Lake Cynthiaton,EE,4,4612.77,1153.19,5,0,1910.4,17,0.0,1.53,882.19,5494.96,Medium Value
user_000964,UT,Karafurt,KG,3,1973.43,657.81,7,1,1680.142857142857,35,14.29,2.67,878.18,2851.61,Medium Value
user_000680,MP,Millerville,KP,3,4222.11,1407.37,8,1,2406.375,25,12.5,2.95,2075.87,6297.98,Medium Value
user_000934,PR,East Markview,SK,4,3154.33,788.58,12,2,1447.4166666666667,45,16.67,4.69,1849.22,5003.55,Medium Value
user_000960,WA,Monicamouth,GY,4,4605.17,1151.29,7,1,1928.4285714285713,25,14.29,2.65,1525.46,6130.63,Medium Value
user_000086,OR,Christyville,CO,4,5410.21,1352.55,14,3,1624.857142857143,45,21.43,5.79,3915.63,9325.84,High Value
user_000124,WY,South Micheleborough,ID,8,10344.28,1293.04,8,4,2012.125,34,50.0,4.47,2889.94,13234.22,Medium Value
user_000175,SD,Stephanieburgh,KH,6,5313.1,885.52,10,2,1370.2,35,20.0,4.07,1802.03,7115.13,Medium Value
user_000425,KS,West Christopherland,GT,4,5403.55,1350.89,6,1,2494.8333333333335,19,16.67,2.34,1580.54,6984.09,Medium Value
user_000460,TX,Davisbury,SC,8,10093.46,1261.68,6,2,1730.0,20,33.33,2.84,1791.59,11885.05,Medium Value
user_000699,AL,Diazfort,SE,6,8251.92,1375.32,12,3,1150.1666666666667,50,25.0,5.2,3575.83,11827.75,High Value
user_000177,AS,Garrisonburgh,PW,,,,10,0,1559.5,38,0.0,3.08,0.0,0.0,Low Value
user_000365,VI,Harristown,DE,8,5931.23,741.4,7,4,1990.142857142857,29,57.14,4.16,1542.11,7473.34,Medium Value
user_000399,VT,Haleton,UA,7,7956.77,1136.68,9,3,1154.2222222222222,35,33.33,4.27,2426.81,10383.58,Medium Value
user_000555,NH,Curtismouth,SN,7,7492.09,1070.3,4,0,2171.75,18,0.0,1.24,663.59,8155.68,Medium Value
user_000758,NH,Daltonborough,AF,1,1968.96,1968.96,6,0,1811.5,19,0.0,1.84,1811.44,3780.4,Medium Value
user_000958,NE,New Courtneyview,TD,6,7798.27,1299.71,16,2,1457.5625,58,12.5,5.92,3847.14,11645.41,High Value
user_000989,WY,Powellberg,SM,4,3663.7,915.93,11,4,2119.6363636363635,40,36.36,5.38,2463.85,6127.55,High Value
user_001022,AR,West Joseph,BY,5,4423.98,884.8,6,3,2088.3333333333335,14,50.0,3.33,1473.19,5897.17,Medium Value
user_000016,IA,Carlville,TR,2,857.83,428.91,18,2,1738.1666666666667,80,11.11,6.56,1406.82,2264.65,High Value
user_000504,DE,North Kellyview,GN,3,1569.43,523.14,12,3,1067.75,61,25.0,5.22,1365.4,2934.83,High Value
user_000750,KY,Craigbury,MT,7,6895.15,985.02,9,5,2417.4444444444443,28,55.56,5.26,2590.6,9485.75,High Value
user_000059,VI,North Roberttown,BN,5,7444.31,1488.86,12,1,2021.8333333333333,42,8.33,4.18,3111.72,10556.03,Medium Value
user_000331,MT,South Andrewbury,FI,5,5219.5,1043.9,10,2,1515.4,29,20.0,4.06,2119.12,7338.62,Medium Value
user_000495,MS,Churchburgh,BJ,1,1619.8,1619.8,4,0,1679.25,13,0.0,1.23,996.18,2615.98,Medium Value
user_000647,WI,Hendersonberg,SI,5,7157.25,1431.45,11,4,1844.5454545454545,40,36.36,5.38,3850.6,11007.85,High Value
user_000795,OR,Lake Carla,SY,4,5859.2,1464.8,10,2,1752.6,35,20.0,4.07,2980.87,8840.07,Medium Value
user_000910,MA,East Richardview,DE,2,3411.76,1705.88,4,0,1675.0,7,0.0,1.21,1032.06,4443.82,Medium Value
user_001013,OR,Millerville,RW,4,6858.51,1714.63,13,1,2066.5384615384614,45,7.69,4.49,3849.34,10707.85,Medium Value
user_000735,MD,Webbville,AM,8,8350.83,1043.85,12,5,1694.1666666666667,31,41.67,6.16,3215.06,11565.89,High Value
user_000863,WY,Cervantesview,SA,2,2503.66,1251.83,10,2,1744.6,40,20.0,4.08,2553.73,5057.39,Medium Value
user_000977,SC,Deborahborough,KP,5,8196.84,1639.37,9,1,1593.4444444444443,25,11.11,3.25,2663.98,10860.82,Medium Value
user_000107,OR,New Robert,PS,6,4152.14,692.02,10,2,1666.3,33,20.0,4.07,1408.26,5560.4,Medium Value
user_000135,WI,Port Laurenshire,GN,5,3464.28,692.86,10,2,1943.7,28,20.0,4.06,1406.51,4870.79,Medium Value
user_000296,MT,East Sheila,RS,5,6189.01,1237.8,6,1,2083.0,25,16.67,2.35,1454.42,7643.43,Medium Value
user_000479,SD,Port Angelport,DK,10,6597.97,659.8,8,4,1739.25,31,50.0,4.46,1471.35,8069.32,Medium Value
user_000823,MP,New Erica,VU,4,2509.81,627.45,11,3,1963.8181818181818,36,27.27,4.87,1527.84,4037.65,Medium Value
user_000908,WA,Luischester,KN,4,5384.45,1346.11,11,3,1930.1818181818182,33,27.27,4.87,3277.78,8662.23,Medium Value
user_000076,AZ,East Michael,DE,2,2299.01,1149.51,11,0,1679.7272727272727,31,0.0,3.36,1931.18,4230.19,Medium Value
user_000095,KS,West Heather,CO,4,2595.79,648.95,5,1,2116.2,27,20.0,2.05,665.17,3260.96,Medium Value
user_000203,PR,Port Kevinbury,AU,5,5324.34,1064.87,9,1,2055.6666666666665,31,11.11,3.26,1735.74,7060.08,Medium Value
user_000266,RI,Edwardfort,SA,7,5880.05,840.01,10,4,2220.6,35,40.0,5.07,2129.43,8009.48,High Value
user_000304,FM,Cynthiafurt,IN,2,605.61,302.81,8,2,2403.875,31,25.0,3.46,523.86,1129.47,Medium Value
user_000364,IL,South Margaret,SD,8,10437.95,1304.74,11,4,2712.6363636363635,39,36.36,5.38,3509.75,13947.7,High Value
